college,draft_team,draft_year
University of Kentucky,Orlando Magic,2010
Ohio State University,Philadelphia 76ers,2010
Georgia Institute of Technology,Phoenix Suns,2010
"Duke University, University of Memphis",Portland Trail Blazers,2010
"University of Nevada, Reno",Portland Trail Blazers,2010
Marshall University,Sacramento Kings,2010
University of Kentucky,Sacramento Kings,2010
Oklahoma State University,San Antonio Spurs,2010
University of North Carolina,Toronto Raptors,2010
Butler University,Utah Jazz,2010
Western Kentucky University,Utah Jazz,2010
Marquette University,Washington Wizards,2010
University of Kentucky,Washington Wizards,2010
Oakland University,Atlanta Hawks,2011
Providence College,Boston Celtics,2011
Purdue University,Boston Celtics,2011
University of Connecticut,Charlotte Bobcats,2011
University of Tennessee,Charlotte Bobcats,2011
Cleveland State University,Chicago Bulls,2011
Marquette University,Chicago Bulls,2011
"University of California, Los Angeles",Chicago Bulls,2011
Duke University,Cleveland Cavaliers,2011
University of Richmond,Cleveland Cavaliers,2011
University of Texas at Austin,Cleveland Cavaliers,2011
University of Texas at Austin,Dallas Mavericks,2011
Morehead State University,Denver Nuggets,2011
Duke University,Detroit Pistons,2011
"Georgetown University, University of Florida",Detroit Pistons,2011
University of Kentucky,Detroit Pistons,2011
Hofstra University,Golden State Warriors,2011
Washington State University,Golden State Warriors,2011
University of Florida,Houston Rockets,2011
University of Kansas,Houston Rockets,2011
San Diego State University,Indiana Pacers,2011
University of Georgia,Los Angeles Clippers,2011
University of Georgia,Los Angeles Clippers,2011
College of Charleston,Los Angeles Lakers,2011
University of Michigan,Los Angeles Lakers,2011
University of Kansas,Memphis Grizzlies,2011
Brigham Young University,Milwaukee Bucks,2011
University of Wisconsin,Milwaukee Bucks,2011
University of Arizona,Minnesota Timberwolves,2011
Purdue University,New Jersey Nets,2011
University of Maryland,New Jersey Nets,2011
University of Kentucky,New Orleans Hornets,2011
Georgia Institute of Technology,New York Knicks,2011
Boston College,Oklahoma City Thunder,2011
University of Kentucky,Orlando Magic,2011
Temple University,Philadelphia 76ers,2011
University of Southern California,Philadelphia 76ers,2011
University of Kansas,Phoenix Suns,2011
Duke University,Portland Trail Blazers,2011
"University of California, Los Angeles",Sacramento Kings,2011
University of Washington,Sacramento Kings,2011
University of Texas at Austin,San Antonio Spurs,2011
University of Colorado,Utah Jazz,2011
Butler University,Washington Wizards,2011
Florida State University,Washington Wizards,2011
University of Virginia,Atlanta Hawks,2012
Vanderbilt University,Atlanta Hawks,2012
Ohio State University,Boston Celtics,2012
Syracuse University,Boston Celtics,2012
Syracuse University,Boston Celtics,2012
University of Kentucky,Charlotte Bobcats,2012
Vanderbilt University,Charlotte Bobcats,2012
